fips,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
1123,0.1806,0.24,0.1383,0.89,Very High Vulnerability,0.64,High Concern,0.0242,0.0022,0.0036,0.2697,0.0,0.6887
1121,0.1783,0.235,0.1368,0.87,Very High Vulnerability,0.84,Very High Concern,0.0229,0.0043,0.0061,0.3237,0.0003,0.6263
1131,0.1735,0.2357,0.1337,0.93,Very High Vulnerability,0.94,Very High Concern,0.0053,0.0009,0.0003,0.6938,0.0,0.2684
1129,0.1735,0.2357,0.1337,0.73,High Vulnerability,0.82,Very High Concern,0.0146,0.0731,0.0025,0.2354,0.0,0.6495
1133,0.1805,0.2313,0.1379,0.7,High Vulnerability,0.8,High Concern,0.0315,0.0034,0.0016,0.0073,0.0005,0.937
1127,0.1855,0.2404,0.1431,0.75,High Vulnerability,0.68,High Concern,0.0249,0.0015,0.0049,0.0617,0.0,0.8895
2013,0.2361,0.2884,0.1704,0.58,Moderate Vulnerability,0.87,Very High Concern,0.0901,0.4588,0.1968,0.0322,0.01,0.1321
2016,0.2361,0.2884,0.1704,0.49,Moderate Vulnerability,0.77,High Concern,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383
1125,0.16,0.2197,0.1205,0.63,High Vulnerability,0.58,Moderate Concern,0.0372,0.0016,0.0161,0.3189,0.0004,0.6155
2050,0.2361,0.2884,0.1704,0.97,Very High Vulnerability,0.89,Very High Concern,0.026,0.825,0.0108,0.0074,0.0022,0.0973
13165,0.1623,0.2462,0.1043,0.83,Very High Vulnerability,0.95,Very High Concern,0.0817,0.0025,0.0111,0.3491,0.0,0.5467
13167,0.1728,0.2541,0.1117,0.91,Very High Vulnerability,0.89,Very High Concern,0.0247,0.0,0.0022,0.3315,0.0,0.624
13159,0.1588,0.2245,0.1006,0.69,High Vulnerability,0.72,High Concern,0.0392,0.0006,0.0029,0.2039,0.0,0.7421
13161,0.1864,0.2692,0.1219,0.94,Very High Vulnerability,0.94,Very High Concern,0.1212,0.0,0.0023,0.1641,0.0,0.7085
13169,0.1478,0.2184,0.0935,0.38,Low Vulnerability,0.58,Moderate Concern,0.0167,0.0017,0.0075,0.2456,0.0,0.7143
13163,0.1623,0.2462,0.1043,0.94,Very High Vulnerability,0.91,Very High Concern,0.0384,0.0015,0.0031,0.5311,0.0,0.4201
13321,0.1624,0.2374,0.1034,0.74,High Vulnerability,0.88,Very High Concern,0.022,0.0038,0.0079,0.2801,0.0003,0.673
13305,0.1864,0.2692,0.1219,0.92,Very High Vulnerability,0.77,High Concern,0.0626,0.0007,0.0061,0.2024,0.0,0.7117
15001,0.0638,0.1031,0.0334,0.58,Moderate Vulnerability,0.35,Low Concern,0.1273,0.0018,0.2184,0.0058,0.1108,0.3031
13303,0.1623,0.2462,0.1043,0.95,Very High Vulnerability,0.84,Very High Concern,0.0248,0.0005,0.0067,0.5263,0.0,0.4253
13313,0.1527,0.2212,0.0956,0.88,Very High Vulnerability,0.84,Very High Concern,0.3511,0.0025,0.0144,0.0376,0.0,0.5843
