name,Cases,Deaths,Sick,Spread,DaytimePopDensity,Traffic,SVIHousing,Vaccines,DistancingGrade,Testing,PctBeds,PctVentilators,PctBlack,PctNative,AirPollution,PctGE65,PrematureDeath,Smoking,Diabetes,Obesity,PctNoIns,SVISocioeconomic
"Alabama, Autauga",9790,142,4.73013075304401,0.0268641470888662,76.0,88.457040416,0.3741,0.658,5.0,1271,0.74,0.3,0.1934317728,0.0048020719,11.7,14.6,8128.5911903,0.1808155718,0.111,0.333,7.1,0.3631
"Alabama, Baldwin",36602,518,3.61431415178285,0.0215288782033769,121.0,86.997429882,0.3359,0.571,5.0,1399,0.75,0.41,0.0878397593,0.0077239912,10.3,19.5,7354.1225298,0.174890326,0.107,0.31,8.9,0.2232
"Alabama, Barbour",3521,71,4.74257465535951,0.0335132064754331,27.5,102.29176221,0.9889,0.643,3.7,689,0.66,0.72,0.4803263534,0.0065913749,11.5,18.0,10253.573403,0.2199998453,0.176,0.417,11.3,0.978
"Alabama, Bibb",4163,83,8.21428571428571,0.0441988950276243,28.9,29.335580011,0.7189,0.702,4.3,1992,0.33,0.3062,0.2112053571,0.004375,11.2,16.3,11977.539484,0.1911419989,0.145,0.376,10.7,0.7694
"Alabama, Blount",9878,162,6.86376210235131,0.0401903219275157,71.7,33.411781963,0.1741,0.735,5.0,1371,0.35,0.0,0.014626556,0.0065352697,11.7,17.8,11335.071134,0.1920867197,0.17,0.338,10.8,0.6143
"Alabama, Bullock",1507,44,3.35371868218584,0.0225613802256138,15.6,4.0665381995,0.765,0.567,3.0,2435,0.41,0.0,0.6954034326,0.0083842967,11.2,15.6,11679.558981,0.2289466401,0.237,0.372,11.4,0.9771
"Alabama, Butler",3210,91,4.6239837398374,0.0283489096573209,25.1,19.311067904,0.6259,0.662,4.3,1013,0.51,0.4,0.4455792683,0.0037601626,10.6,19.0,14359.939103,0.2176533496,0.192,0.433,8.7,0.8455
"Alabama, Calhoun",21751,433,11.9971647838148,0.0630315847547239,193.1,109.89916308,0.6492,0.603,5.0,1342,0.91,0.64,0.2085021483,0.0053991617,11.8,16.8,12078.616145,0.2061256037,0.175,0.385,9.5,0.7866
"Alabama, Chambers",5498,138,6.45545143537111,0.0394688977810113,46.7,20.271586909,0.7943,0.731,5.0,860,0.77,0.0,0.3956567009,0.0030641083,11.4,18.9,11112.536614,0.1939292705,0.199,0.401,10.3,0.6901
"Alabama, Cherokee",2954,57,5.14751075599262,0.045362220717671,37.0,25.908887044,0.2741,0.726,5.0,657,0.3,0.0,0.0424093423,0.0066072526,11.4,21.7,12349.707594,0.1749867379,0.152,0.35,8.6,0.6879
"Alabama, Chilton",6486,146,4.91472833103073,0.0334566759173605,54.2,28.80120495,0.3636,0.698,5.0,1200,0.26,0.03,0.0996761262,0.0056621294,11.2,15.8,10019.3128,0.2018897906,0.186,0.377,13.0,0.7685
"Alabama, Choctaw",778,27,4.04952885289308,0.0668380462724936,13.3,17.189832601,0.5775,0.443,4.0,294,0.19,0.0,0.415154583,0.0018690133,10.1,22.1,12479.822147,0.1879324829,0.174,0.413,10.3,0.9057
"Alabama, Clarke",4689,80,6.31270903010033,0.0322030283642568,21.2,66.287632266,0.7345,0.555,4.0,737,0.25,0.0,0.4432692308,0.0052675585,10.4,19.0,11144.037371,0.2057965532,0.224,0.341,9.7,0.9436
"Alabama, Clay",2327,66,7.2316384180791,0.0412548345509239,20.5,37.230490328,0.1579,0.637,4.0,1791,0.32,0.0,0.1383050847,0.0054237288,10.6,19.8,10461.83432,0.1962035415,0.135,0.406,10.3,0.8162
"Alabama, Cleburne",2437,53,21.7521852271969,0.133771029954863,21.4,41.333776458,0.1,0.733,4.0,872,0.7125,0.2188,0.0286915327,0.0049376126,11.0,18.8,11087.984454,0.1837446577,0.125,0.373,12.3,0.8694
"Alabama, Coffee",9076,183,7.60947041938777,0.0435213750550903,70.3,58.321196812,0.1923,0.668,5.0,1190,0.67,1.25,0.1718777091,0.0141016009,10.9,16.3,8175.3623921,0.1744475759,0.161,0.342,9.8,0.5373
"Alabama, Colbert",8644,187,5.07651291041233,0.0321610365571495,92.0,80.776854508,0.1025,0.579,5.0,1318,0.62,0.63,0.1599832,0.0066286841,10.7,19.3,10644.992124,0.1865882106,0.162,0.306,7.2,0.6519
"Alabama, Conecuh",1836,49,4.64282805245581,0.0310457516339869,14.3,34.495784039,0.213,0.64,3.7,945,0.53,0.2088,0.4566262116,0.0051315468,10.3,21.6,10822.452428,0.2110751296,0.259,0.43,12.7,0.9529
"Alabama, Coosa",1742,36,8.77274848343444,0.0539609644087256,12.3,24.292868849,0.2913,0.65,3.0,1425,0.5325,0.2712,0.3047130191,0.0059729351,11.0,21.8,12691.204176,0.2039996562,0.208,0.403,8.0,0.693
"Alabama, Covington",6556,170,5.19115340939815,0.0292861500915192,34.6,42.463348946,0.4702,0.669,5.0,453,0.72,0.25,0.1244254583,0.0069215379,10.5,20.5,11418.122816,0.1924945154,0.153,0.317,11.1,0.8232
"Alabama, Crenshaw",2410,72,5.64236111111111,0.0323651452282158,20.2,57.646953199,0.2353,0.705,4.0,857,0.53,0.0,0.2322048611,0.0062934028,10.7,18.3,9944.64447,0.1864692956,0.182,0.38,8.7,0.7271
"Alabama, Cullman",14965,278,9.61146664749167,0.0535917139993318,106.9,51.370290123,0.3945,0.663,5.0,2114,0.88,0.92,0.0120562786,0.0064595767,11.6,18.0,10182.18218,0.1790107122,0.193,0.369,11.1,0.6895
"Alabama, Dale",8739,178,8.57913228204919,0.0480604188122211,98.3,41.485754492,0.455,0.55,5.0,1021,0.67,0.35,0.2045101724,0.0080071901,11.0,16.1,10467.436009,0.2005739493,0.158,0.372,11.6,0.779
"Alabama, Dallas",4760,190,3.08013573479509,0.0247899159663866,41.5,60.708334698,0.8392,0.637,4.0,1473,0.58,0.6,0.7005742626,0.0028974158,11.1,16.8,14717.166071,0.2408899101,0.159,0.431,11.1,0.9669
"Alabama, DeKalb",12348,248,5.79953771800799,0.0335276967930029,88.2,53.003998974,0.4779,0.719,5.0,825,0.72,0.5,0.0144848357,0.020298382,11.3,16.3,10747.783715,0.2102827079,0.128,0.292,13.7,0.8035
"Alabama, Elmore",14735,273,8.19421886257892,0.0455378350865287,99.6,57.061953869,0.5177,0.629,5.0,1263,0.2,0.0,0.2121460061,0.005190079,11.9,14.5,8762.5525693,0.1745250185,0.158,0.343,7.4,0.4911
"Alabama, Escambia",6648,124,4.10906716011756,0.0227135980746089,37.6,35.83380504,0.5839,0.691,4.3,980,0.4,0.22,0.3140306955,0.0387231958,10.2,17.3,12227.375778,0.2241258458,0.188,0.394,14.2,0.9557
