fips,state,county,state_abb,popfull_per,pop_full_12plus_per,pop_full_18plus_per,pop_full_65plus_per,pop_first_per,pop_first_12plus_per,pop_first_18plus_per,pop_first_65plus_per,county_cases,cases_031021,county_death,death_031021,pop_census,test,cases_prop,death_prop
1001,Alabama,Autauga County,AL,34.0,39.9,41.8,61.7,43.1,50.6,52.6,74.5,Autauga County,9780.0,Autauga County,142.0,55869.0,1,17.50523546152607,0.2541659954536505
1003,Alabama,Baldwin County,AL,42.7,49.5,51.9,75.3,54.4,63.0,65.7,91.1,Baldwin County,36579.0,Baldwin County,518.0,223234.0,1,16.38594479335585,0.23204350591755737
1005,Alabama,Barbour County,AL,35.7,41.1,43.0,66.1,46.6,53.8,56.0,76.3,Barbour County,3519.0,Barbour County,71.0,24686.0,1,14.255043344405735,0.2876124118933809
1007,Alabama,Bibb County,AL,29.7,34.2,35.7,57.0,37.3,42.8,44.7,64.5,Bibb County,4157.0,Bibb County,83.0,22394.0,1,18.56300794855765,0.37063499151558454
1009,Alabama,Blount County,AL,26.4,31.0,32.9,49.5,32.8,38.5,40.6,57.3,Blount County,9870.0,Blount County,162.0,57826.0,1,17.068446719468753,0.28015079721924396
1011,Alabama,Bullock County,AL,43.1,50.2,51.5,72.9,53.3,62.0,63.4,85.3,Bullock County,1507.0,Bullock County,44.0,10101.0,1,14.91931491931492,0.43560043560043565
1013,Alabama,Butler County,AL,33.8,39.4,41.4,59.3,43.8,51.1,53.6,73.5,Butler County,3210.0,Butler County,91.0,19448.0,1,16.505553270259153,0.4679144385026738
1015,Alabama,Calhoun County,AL,39.5,45.9,48.3,74.1,48.8,56.7,59.2,85.4,Calhoun County,21719.0,Calhoun County,433.0,113605.0,1,19.117996567052504,0.38114519607411645
1017,Alabama,Chambers County,AL,26.8,31.1,32.6,48.5,32.4,37.7,39.3,55.0,Chambers County,5493.0,Chambers County,138.0,33254.0,1,16.518313586335477,0.41498767065616166
1019,Alabama,Cherokee County,AL,27.4,31.1,32.8,50.2,33.2,37.7,39.7,58.0,Cherokee County,2950.0,Cherokee County,57.0,26196.0,1,11.26126126126126,0.21759047182775995
1021,Alabama,Chilton County,AL,30.0,35.6,37.5,59.9,37.8,44.8,47.1,70.5,Chilton County,6476.0,Chilton County,146.0,44428.0,1,14.576393265508239,0.32862158998829566
1023,Alabama,Choctaw County,AL,55.7,63.5,67.1,87.5,70.5,80.5,84.5,99.9,Choctaw County,777.0,Choctaw County,27.0,12589.0,1,6.172054968623401,0.21447295257764715
1025,Alabama,Clarke County,AL,44.4,51.4,53.8,73.3,56.0,64.8,67.7,87.3,Clarke County,4687.0,Clarke County,80.0,23622.0,1,19.84167301667937,0.3386673440013547
1027,Alabama,Clay County,AL,36.2,41.8,44.0,58.7,45.6,52.6,55.3,76.3,Clay County,2326.0,Clay County,66.0,13235.0,1,17.57461276917265,0.49867774839440876
1029,Alabama,Cleburne County,AL,26.7,31.3,33.4,53.5,32.8,38.5,40.9,62.0,Cleburne County,2434.0,Cleburne County,53.0,14910.0,1,16.324614352783367,0.3554661301140174
