fips,PopDensity,Male,RuralCont,EconArea,HouseholdSize,noHealthInsurance,noHighSchool,Poverty,logPopDensity,PercentEduHealthSoc,SES,Household,HousingType,Asthma,Cancer,COPD,Stroke,HF,HTN,KD,WBSeg,WNWSeg
1001,93.98593634,48.49200809,1,114.0,2.68,11.1,12.3,13.4,4.543145158,17.6,0.3631,0.581,0.3741,4.5463,8.4762,13.8316,4.0647,15.8544,63.7064,25.5635,24.61913786,23.6283952
1003,140.4181711,48.49037333,1,112.0,2.46,14.3,9.8,10.1,4.944624907,20.0,0.2232,0.19899999999999998,0.3359,4.888999999999999,8.5693,11.5988,3.8739999999999997,12.8695,60.3339,21.7487,41.27176277,31.82534323
1005,27.89756803,52.92068379,0,48.0,2.47,16.1,26.9,33.4,3.328539518,18.3,0.978,0.9153,0.9889,5.5134,8.3313,10.6346,4.5822,13.7711,67.2384,28.2774,25.03913235,23.44971251
1007,35.96967458,53.26873270000001,2,19.0,2.6,13.0,17.9,20.2,3.5826762110000003,24.6,0.7694,0.1203,0.7189,4.9055,7.1557,13.6814,5.5356,17.3717,67.9118,29.523000000000003,52.60379424,52.60020550000001
1009,89.68330283,49.23736727,2,19.0,2.63,17.1,20.2,12.8,4.496284607,20.2,0.6143,0.3187,0.1741,5.3258,6.735,14.9524,4.428999999999999,16.2518,63.7811,24.5608,48.21482288,17.69449474
1011,16.21868979,54.52925453,0,114.0,2.46,15.2,28.6,34.4,2.7861642680000003,16.8,0.9771,0.4438,0.765,4.0909,8.0909,11.1818,2.8182,17.0909,70.0,25.0,31.84648148,30.61876043
1013,25.03507846,46.40065817,0,114.0,2.43,14.5,18.9,21.3,3.22027798,20.1,0.8455,0.9077,0.6259,4.6827,7.1368,16.615,4.6262,18.2511,70.6065,26.9394,38.01121561,37.51184805
1015,187.507221,47.956516,1,19.0,2.44,15.4,16.8,17.7,5.2338173569999995,22.3,0.7866,0.8303,0.6492,5.5784,7.2719,17.4386,3.8686,17.0003,65.8262,27.8217,44.54230412,40.68118287
1017,55.74572947,47.79876105,0,11.0,2.42,15.2,19.1,18.2,4.0208008060000004,19.1,0.6901,0.6609,0.7943,4.0444,7.0613,14.6445,3.4573,17.2048,67.0254,28.2779,26.7478613,25.67284445
1019,47.31081813,49.34341121,0,11.0,2.42,13.9,20.5,17.2,3.856738983,22.8,0.6879,0.4492,0.2741,4.6653,7.1219,19.7431,3.313,18.8641,64.1875,30.9218,32.05770923,29.49378943
1021,64.12354767,49.06815522,2,19.0,2.61,17.5,18.2,16.8,4.160811655,16.6,0.7685,0.8513,0.3636,5.0723,7.472,13.9351,3.7088,17.2893,65.3941,30.4609,37.87295478,33.22441623
1023,13.78106185,47.16816268,0,80.0,2.34,14.1,19.9,23.7,2.62329532,23.5,0.9057,0.9083,0.5775,3.5468,7.0279,10.2791,4.2365,15.4023,73.1691,25.6814,45.52158161,44.70127425
1025,19.07368829,47.2144611,0,112.0,2.47,15.3,18.5,23.3,2.948309809,17.4,0.9436,0.6167,0.7345,3.6181,6.7075,11.2719,4.0078,17.061,60.59,20.4564,21.36475139,19.66355998
1027,21.91370289,48.71174915,0,19.0,2.41,17.2,26.7,18.1,3.087112144,17.2,0.8162,0.6673,0.1579,4.1586,6.1407,16.3622,2.9149,18.1112,65.8764,25.8842,19.74940201,21.57661283
1029,26.62024638,49.22870557,0,11.0,2.51,16.8,24.2,16.1,3.281672069,19.1,0.8694,0.6632,0.1,3.9132,6.7028,17.2414,3.952,15.9241,64.5486,26.3076,39.993162,34.27120295
1031,77.09029854,49.18039051,1,48.0,2.49,15.3,14.6,15.5,4.344977443,22.3,0.5373,0.8067,0.1923,6.7958,8.4197,15.4403,5.0718,14.9282,68.2199,23.3479,37.92111264,29.59042195
1033,93.21487631,47.80507232,1,76.0,2.37,12.1,16.1,15.4,4.534907326,20.8,0.6519,0.6858,0.1025,4.6383,7.2547,18.0674,3.6373,13.3003,71.5263,25.3915,28.03403889,24.16804045
1035,14.19379881,47.716913899999994,0,112.0,2.34,15.3,21.0,23.7,2.652805166,18.5,0.9529,0.9713,0.213,3.6448,8.0651,19.4261,6.1264,18.9221,71.3067,20.3567,22.08136685,21.62651092
1037,16.3811777,50.03282378,0,114.0,2.38,15.5,23.2,17.4,2.796132974,18.2,0.693,0.3836,0.2913,4.7253,7.1429,15.4396,4.3407,14.6154,64.4505,29.4505,53.69645301,53.48003620000001
1039,35.95384586,48.38727091,0,48.0,2.39,15.3,18.0,17.7,3.582236056,17.5,0.8232,0.9079999999999999,0.4702,4.6284,7.4457,19.788,9.458,19.2112,70.8881,29.2192,41.68256387,39.08743219
1041,22.62006438,48.54051699,0,114.0,2.44,15.6,20.7,19.9,3.1188373169999997,21.3,0.7271,0.8596,0.2353,5.1765,8.0941,16.8471,5.1765,16.3765,65.1294,32.0471,13.02189072,13.0848574
1043,113.99488319999999,49.43176392,1,19.0,2.49,16.2,17.9,13.8,4.736153563999999,20.6,0.6895,0.4444,0.3945,4.0968,7.3503,15.0072,4.0542,22.9197,65.6333,23.1411,83.56335697,24.17849634
1045,87.62719415,49.24347189,1,48.0,2.46,12.5,14.0,17.7,4.473091385,18.7,0.779,0.7463,0.455,6.3001,7.5347,16.7749,4.0092,14.6875,66.6158,26.8678,32.99628656,29.982801300000002
1047,38.00590585,46.1823852,1,114.0,2.52,13.7,18.7,27.9,3.637741565,23.4,0.9669,0.9478,0.8392,5.3186,7.8544,11.7405,4.3636,20.9287,69.3891,28.2397,50.77794658,50.39539319
1049,92.02666358,49.74899669,0,76.0,2.62,22.8,26.4,19.5,4.522078357,16.6,0.8035,0.7354,0.4779,4.1051,6.0895,17.9183,3.5311,16.5759,64.7374,25.6907,50.47230423,32.18180597
1051,131.30416499999998,48.31484195,1,114.0,2.61,11.0,13.6,12.0,4.877516502,19.6,0.4911,0.5422,0.5177,3.7369,7.1218,14.1754,4.3503,15.1636,61.2108,23.1826,26.54084214,26.13648596
1053,38.76179794,50.29618104,0,112.0,2.48,18.9,19.0,23.3,3.657435173,19.3,0.9557,0.6819,0.5839,4.1126,7.9103,14.5609,4.4276,16.784000000000002,65.4316,25.8614,36.77284638,34.72318484
1055,191.1587132,48.39832597,1,76.0,2.43,16.0,16.9,18.1,5.2531040419999995,23.8,0.7169,0.7587,0.2904,7.4458,6.7801,20.0384,4.2136,19.2081,67.2866,31.1419,63.87339535,58.78047138
1057,25.97266036,48.68727763,0,19.0,2.39,14.5,20.4,19.4,3.25704446,23.6,0.8306,0.8071,0.5454,5.3623,7.7391,20.6667,4.7826,18.7246,68.2319,30.1449,49.27090191,49.23012352
1059,49.48092518,50.32204579,0,76.0,2.56,19.9,23.6,20.5,3.901587245,20.0,0.8713,0.6622,0.5275,3.5061,6.7039,19.2256,4.0069,15.758,68.9655,24.5039,56.92458227,51.00729701
1061,45.73562438,48.82570134,1,48.0,2.43,18.1,21.0,21.7,3.822877521,20.3,0.9376,0.9169,0.2716,6.5,6.9038,16.6538,4.2308,16.8462,65.6923,26.7692,23.60102655,19.95948735
1063,12.53419048,47.20749599,0,19.0,2.39,14.7,23.4,33.2,2.5284601490000003,26.3,0.9959,0.9717,0.9554,8.6147,9.0803,10.5355,4.1909,15.7159,69.1502,27.1246,8.371516037000001,9.674840439
1065,22.75211976,47.43703501,1,19.0,2.46,13.7,18.9,25.1,3.1246583169999997,25.3,0.9334,0.9634,0.9347,6.1,7.2667,11.9333,3.6,15.6667,65.6667,27.1,37.40204086,37.65604869
1067,30.62750334,48.29410055,1,48.0,2.45,15.3,19.4,17.0,3.421898407,24.1,0.6971,0.6374,0.2713,6.8977,7.9171,12.5382,4.6891,13.8294,65.6133,26.0618,24.97350654,24.97235809
1069,182.61184509999998,47.81549272,1,48.0,2.44,14.4,14.7,16.6,5.207362835,23.8,0.6943,0.8542,0.3502,6.3994,8.7101,11.9997,4.4816,14.377,66.7777,25.9306,48.11854602,43.91141284
1071,47.89631403,49.13609422,0,76.0,2.45,16.5,18.6,16.6,3.86903855,19.8,0.7927,0.5635,0.3231,4.9842,7.0882,16.1454,4.1292,18.0018,67.5293,29.6467,44.79878313,22.51219629
1073,592.6256209,47.25854233,2,19.0,2.44,12.7,10.6,16.7,6.384562869,25.8,0.5185,0.5833,0.6211,5.4367,7.9714,10.3578,4.015,14.2888,61.0979,26.2303,63.97786086,60.31224938
1075,22.82384062,48.967765299999996,0,19.0,2.35,14.5,20.5,18.7,3.127805631,19.2,0.8726,0.7214,0.3251,3.5294,7.5676,16.9475,3.4022,17.5199,64.8967,26.8998,6.098030112000001,5.414952099999999
1077,138.8782387,47.97851805,1,76.0,2.35,14.1,14.1,13.7,4.933597569,22.6,0.4946,0.2451,0.5622,4.6934,7.2372,14.9149,4.3121,13.0152,66.7718,22.3493,45.70720622,43.60964832
1079,47.66896392,48.70003645,1,76.0,2.5,17.5,22.0,16.8,3.864280535,17.6,0.7373,0.5186,0.2028,4.3962,8.081,18.0773,2.7727,17.0011,70.7041,28.7851,68.74179040000001,36.89199506
1081,270.8331962,49.13031323,1,39.0,2.44,12.8,10.1,17.8,5.601503119,29.4,0.5465,0.1522,0.9214,4.8472,7.285,12.0967,3.9375,15.5437,64.3923,22.9282,34.50846475,30.178651199999997
1083,176.65285569999998,49.98635192,1,76.0,2.54,14.1,16.3,11.9,5.174186539,17.8,0.5812,0.2999,0.4521,5.4414,8.2291,13.4292,3.5829,15.1984,66.2348,26.8227,41.01686552,31.65129818
1085,13.58550656,46.9874563,1,114.0,2.57,13.8,24.0,25.9,2.60900353,22.1,0.9732,0.9803,0.4954,4.8182,7.5455,9.6364,5.1818,15.0909,65.7273,28.5455,25.38773751,25.47207713
