fips,state,county,state_abb,popfull_per,pop_full_12plus_per,pop_full_18plus_per,pop_full_65plus_per,pop_first_per,pop_first_12plus_per,pop_first_18plus_per,pop_first_65plus_per
1001,Alabama,Autauga County,AL,34.0,39.9,41.8,61.7,43.1,50.6,52.6,74.5
1003,Alabama,Baldwin County,AL,42.7,49.5,51.9,75.3,54.4,63.0,65.7,91.1
1005,Alabama,Barbour County,AL,35.7,41.1,43.0,66.1,46.6,53.8,56.0,76.3
1007,Alabama,Bibb County,AL,29.7,34.2,35.7,57.0,37.3,42.8,44.7,64.5
1009,Alabama,Blount County,AL,26.4,31.0,32.9,49.5,32.8,38.5,40.6,57.3
1011,Alabama,Bullock County,AL,43.1,50.2,51.5,72.9,53.3,62.0,63.4,85.3
1013,Alabama,Butler County,AL,33.8,39.4,41.4,59.3,43.8,51.1,53.6,73.5
1015,Alabama,Calhoun County,AL,39.5,45.9,48.3,74.1,48.8,56.7,59.2,85.4
1017,Alabama,Chambers County,AL,26.8,31.1,32.6,48.5,32.4,37.7,39.3,55.0
1019,Alabama,Cherokee County,AL,27.4,31.1,32.8,50.2,33.2,37.7,39.7,58.0
1021,Alabama,Chilton County,AL,30.0,35.6,37.5,59.9,37.8,44.8,47.1,70.5
1023,Alabama,Choctaw County,AL,55.7,63.5,67.1,87.5,70.5,80.5,84.5,99.9
1025,Alabama,Clarke County,AL,44.4,51.4,53.8,73.3,56.0,64.8,67.7,87.3
1027,Alabama,Clay County,AL,36.2,41.8,44.0,58.7,45.6,52.6,55.3,76.3
1029,Alabama,Cleburne County,AL,26.7,31.3,33.4,53.5,32.8,38.5,40.9,62.0
1031,Alabama,Coffee County,AL,33.0,39.0,41.4,68.7,40.6,48.0,50.7,77.7
1033,Alabama,Colbert County,AL,42.0,48.7,50.6,73.0,50.3,58.4,60.5,83.1
1035,Alabama,Conecuh County,AL,35.9,41.5,43.6,59.0,48.7,56.3,58.7,76.3
1037,Alabama,Coosa County,AL,35.0,39.2,40.7,59.9,42.2,47.1,48.9,69.8
1039,Alabama,Covington County,AL,33.0,38.5,40.7,61.1,41.2,48.2,50.9,73.4
1041,Alabama,Crenshaw County,AL,29.4,34.5,36.9,59.2,36.8,43.1,45.8,70.6
1043,Alabama,Cullman County,AL,33.6,39.5,41.9,66.4,40.1,47.1,49.8,74.0
1045,Alabama,Dale County,AL,44.9,53.1,56.6,72.2,53.0,62.7,66.4,79.6
1047,Alabama,Dallas County,AL,36.1,42.5,44.8,63.4,49.6,58.3,61.3,83.4
1049,Alabama,DeKalb County,AL,28.0,33.0,35.5,54.6,35.6,42.1,44.8,65.3
1051,Alabama,Elmore County,AL,37.0,43.3,45.7,75.4,47.1,55.1,57.8,90.6
1053,Alabama,Escambia County,AL,30.8,36.1,38.4,65.4,40.7,47.7,50.6,84.7
1055,Alabama,Etowah County,AL,35.0,40.7,42.8,65.6,43.4,50.4,52.7,75.9
1057,Alabama,Fayette County,AL,29.8,34.6,36.5,56.2,35.4,41.1,43.1,64.3
1059,Alabama,Franklin County,AL,37.7,45.1,48.1,74.2,46.8,56.0,59.3,86.5
1061,Alabama,Geneva County,AL,32.9,38.3,41.2,67.4,40.1,46.6,50.0,77.3
1063,Alabama,Greene County,AL,41.4,48.2,50.5,66.9,55.7,64.9,67.4,84.2
1065,Alabama,Hale County,AL,52.5,62.2,64.4,78.6,62.7,74.3,76.2,89.2
1067,Alabama,Henry County,AL,38.4,44.1,46.8,67.5,47.6,54.6,57.9,77.7
1069,Alabama,Houston County,AL,36.6,43.1,45.6,69.5,44.3,52.2,55.0,78.9
1071,Alabama,Jackson County,AL,41.2,47.4,50.2,77.4,50.8,58.5,61.7,90.5
1073,Alabama,Jefferson County,AL,49.1,58.0,60.0,84.3,61.2,72.2,74.2,95.1
1075,Alabama,Lamar County,AL,37.6,43.5,46.6,71.0,43.9,50.7,54.2,79.6
1077,Alabama,Lauderdale County,AL,40.2,46.0,48.2,70.6,50.2,57.4,59.8,82.5
1079,Alabama,Lawrence County,AL,40.6,47.2,50.1,78.2,48.5,56.4,59.8,89.1
1081,Alabama,Lee County,AL,33.7,39.2,40.6,60.5,39.4,45.8,47.2,68.9
1083,Alabama,Limestone County,AL,31.6,36.8,39.0,65.5,36.5,42.6,45.0,70.3
1085,Alabama,Lowndes County,AL,41.0,48.2,50.0,70.0,54.6,64.2,65.9,88.2
1087,Alabama,Macon County,AL,40.0,45.1,45.8,64.6,50.9,57.4,58.1,79.6
1089,Alabama,Madison County,AL,51.8,60.3,62.1,84.7,62.0,72.2,74.0,93.5
1091,Alabama,Marengo County,AL,47.2,55.4,57.8,76.4,59.4,69.7,72.2,89.1
1093,Alabama,Marion County,AL,31.4,36.2,38.5,58.8,37.7,43.5,46.0,66.2
1095,Alabama,Marshall County,AL,38.5,46.2,49.2,75.3,47.6,57.1,60.3,85.9
1097,Alabama,Mobile County,AL,41.6,49.3,51.5,73.6,50.8,60.2,62.6,84.6
1099,Alabama,Monroe County,AL,37.3,42.9,45.1,59.8,48.4,55.7,58.4,76.8
1101,Alabama,Montgomery County,AL,43.9,52.1,53.9,71.8,55.9,66.4,68.3,88.7
1103,Alabama,Morgan County,AL,37.3,43.8,46.5,72.5,44.5,52.3,55.2,80.9
1105,Alabama,Perry County,AL,41.8,48.5,49.9,66.9,50.7,58.8,60.3,79.1
1107,Alabama,Pickens County,AL,41.4,47.4,49.3,66.6,51.7,59.1,61.2,82.4
1109,Alabama,Pike County,AL,35.1,40.2,41.3,74.9,43.4,49.7,50.7,86.5
1111,Alabama,Randolph County,AL,28.5,33.1,35.6,57.4,35.3,41.0,43.7,67.5
1113,Alabama,Russell County,AL,32.2,38.5,40.3,69.7,41.6,49.8,51.7,83.4
1115,Alabama,St. Clair County,AL,33.6,39.5,41.7,65.7,41.2,48.3,50.8,74.4
1117,Alabama,Shelby County,AL,30.9,36.2,37.5,47.9,38.7,45.3,46.7,56.0
1119,Alabama,Sumter County,AL,42.4,48.6,49.4,71.2,56.7,65.0,65.7,91.1
1121,Alabama,Talladega County,AL,31.6,36.5,38.4,60.4,39.0,45.1,47.2,69.3
1123,Alabama,Tallapoosa County,AL,33.8,39.1,41.0,61.8,40.6,46.9,49.0,69.7
1125,Alabama,Tuscaloosa County,AL,37.5,43.8,45.0,71.5,45.1,52.5,53.9,80.7
1127,Alabama,Walker County,AL,40.6,47.7,50.4,76.5,49.8,58.4,61.5,88.1
1129,Alabama,Washington County,AL,40.7,47.1,50.2,76.0,49.5,57.4,61.0,86.6
1131,Alabama,Wilcox County,AL,45.0,52.9,55.2,71.5,58.3,68.6,70.8,92.7
1133,Alabama,Winston County,AL,19.1,21.9,23.3,36.5,23.5,27.0,28.8,44.2
2013,Alaska,Aleutians East Borough,AK,68.3,71.9,70.8,45.6,74.3,78.3,77.1,47.3
2016,Alaska,Aleutians West Census Area,AK,54.6,59.2,59.1,58.2,65.5,71.0,70.6,65.4
