fips,state,county,state_abb,pop_full_12plus_per,pop_full_18plus_per,pop_full_65plus_per,cases_prop,death_prop,hesitant_unsure,SVI,SVI_cat,CVAC,CVAC_cat,Hispanic (%),non-Hispanic American Indian/Alaska Native (%),non-Hispanic Asian (%),non-Hispanic Black (%),non-Hispanic Native Hawaiian/Pacific Islander (%),non-Hispanic White (%),noHealthInsurance,noHighSchool,Poverty,logPopDensity,Urban_rural_code,PrematureDeath,Smoking,anycondition_prevalence,per_dem,per_voted,Testing,Traffic,DaytimePopDensity,ToxPi Score
1001,Alabama,Autauga County,AL,39.9,41.8,61.7,17.50523546152607,0.2541659954536505,0.2233,0.44,Moderate Vulnerability,0.61,High Concern,0.0283,0.0025,0.0103,0.19,0.0001,0.746,11.1,12.3,13.4,10.930764943599618,3,8128.5911903,0.1808155718,47.6,0.270183651,0.4970556122357658,1271.0,88.457040416,76.0,0.5315488204726049
1003,Alabama,Baldwin County,AL,49.5,51.9,75.3,16.385944793355847,0.2320435059175573,0.1988,0.22,Low Vulnerability,0.23,Low Concern,0.0456,0.0065,0.0092,0.0917,0.0,0.8307,14.3,9.8,10.1,12.3159758276374,4,7354.122529800001,0.174890326,40.2,0.2240903,0.4913185267477176,1399.0,86.997429882,121.0,0.5106901149615707
1005,Alabama,Barbour County,AL,41.1,43.0,66.1,14.255043344405735,0.2876124118933809,0.2337,1.0,Very High Vulnerability,0.89,Very High Concern,0.0436,0.0029,0.0048,0.4744,0.0,0.4581,16.1,26.9,33.4,10.113991560303877,6,10253.573403,0.21999984530000002,57.5,0.457881727,0.4260714575062789,689.0,102.29176221,27.5,0.5959559104187789
1007,Alabama,Bibb County,AL,34.2,35.7,57.0,18.563007948557647,0.3706349915155845,0.2526,0.6,High Vulnerability,0.76,High Concern,0.0257,0.0013,0.0012,0.2214,0.0,0.7453,13.0,17.9,20.2,10.016548344820142,2,11977.539484,0.1911419989,51.6,0.206982804,0.4284629811556667,1992.0,29.335580010999998,28.9,0.5392070164353711
1009,Alabama,Blount County,AL,31.0,32.9,49.5,17.06844671946875,0.280150797219244,0.2362,0.42,Moderate Vulnerability,0.8,High Concern,0.0926,0.0007,0.0037,0.0153,0.0004,0.8689,17.1,20.2,12.8,10.965193780508258,2,11335.071134,0.1920867197,46.3,0.09569378,0.4770864317089198,1371.0,33.411781963,71.7,0.4933677954669895
1011,Alabama,Bullock County,AL,50.2,51.5,72.9,14.919314919314921,0.4356004356004357,0.2337,0.89,Very High Vulnerability,0.84,Very High Concern,0.0256,0.0,0.0049,0.748,0.0,0.2138,15.2,28.6,34.4,9.220389707829183,6,11679.558981,0.22894664010000002,60.7,0.7470192929999999,0.4566874566874567,2435.0,4.0665381995,15.6,0.4445342075505586
1013,Alabama,Butler County,AL,39.4,41.4,59.3,16.505553270259153,0.4679144385026738,0.2304,0.87,Very High Vulnerability,0.88,Very High Concern,0.013999999999999999,0.0006,0.0035,0.4503,0.0,0.516,14.5,18.9,21.3,9.875499515995957,6,14359.939103,0.21765334960000002,58.1,0.41789629,0.4878650761003702,1013.0,19.311067904,25.1,0.5335545834749237
1015,Alabama,Calhoun County,AL,45.9,48.3,74.1,19.117996567052504,0.3811451960741165,0.2354,0.83,Very High Vulnerability,0.66,High Concern,0.038,0.0019,0.0088,0.2066,0.0001,0.7207,15.4,16.8,17.7,11.640482798385104,4,12078.616145,0.20612560370000002,53.6,0.298452425,0.44877426169622814,1342.0,109.89916308,193.1,0.6470549026417811
1017,Alabama,Chambers County,AL,31.1,32.6,48.5,16.518313586335477,0.4149876706561617,0.24,0.74,High Vulnerability,0.81,Very High Concern,0.0238,0.0033,0.0112,0.3956,0.0,0.5555,15.2,19.1,18.2,10.411930339600325,5,11112.536614,0.1939292705,55.7,0.41644857399999996,0.4596138810368677,860.0,20.271586909,46.7,0.5699249374389935
1019,Alabama,Cherokee County,AL,31.1,32.8,50.2,11.26126126126126,0.21759047182775995,0.235,0.45,Moderate Vulnerability,0.7,High Concern,0.0159,0.0108,0.0025,0.046,0.0,0.9172,13.9,20.5,17.2,10.173362006337943,6,12349.707594,0.1749867379,55.9,0.132021787,0.469575507711101,657.0,25.908887044,37.0,0.487386316406569
