fips,state,county,state_abb,pop_full_12plus_per,pop_full_18plus_per,pop_full_65plus_per,cases_prop,death_prop,pop_census,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,total_votes,per_dem,per_gop,per_point_diff,PrematureDeath,Smoking,Testing,Traffic,DistancingGrade,DaytimePopDensity,PctGE65,ToxPi Score,Male,RuralCont,EconArea,HouseholdSize,noHealthInsurance,noHighSchool,Poverty,logPopDensity,PercentEduHealthSoc,SES,Household,HousingType,Asthma,Cancer,WBSeg,WNWSeg,anycondition_prevalence,Obesity_prevalence,Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code
1001,Alabama,Autauga County,AL,39.9,41.8,61.7,17.50523546152607,0.2541659954536505,55869.0,0.1685,0.2233,0.1272,0.44,Moderate Vulnerability,0.61,High Concern,0.0283,0.0025,0.0103,0.19,0.0001,0.746,27770.0,0.270183651,0.714368023,0.44418437200000005,8128.5911903,0.1808155718,1271.0,88.457040416,5.0,76.0,14.6,0.5315488204726049,48.49200809,1.0,114.0,2.68,11.1,12.3,13.4,4.543145158,17.6,0.3631,0.581,0.3741,4.5463,8.4762,24.61913786,23.6283952,47.6,35.8,7.9,8.6,12.9,3.1,3.0
1003,Alabama,Baldwin County,AL,49.5,51.9,75.3,16.385944793355847,0.23204350591755735,223234.0,0.1544,0.1988,0.1169,0.22,Low Vulnerability,0.23,Low Concern,0.0456,0.0065,0.0092,0.0917,0.0,0.8307,109679.0,0.2240903,0.7617137279999999,0.537623428,7354.122529800001,0.174890326,1399.0,86.997429882,5.0,121.0,19.5,0.5106901149615707,48.49037333,1.0,112.0,2.46,14.3,9.8,10.1,4.944624907,20.0,0.2232,0.199,0.3359,4.8889999999999985,8.5693,41.27176277,31.82534323,40.2,29.7,7.8,8.6,12.0,3.2,4.0
1005,Alabama,Barbour County,AL,41.1,43.0,66.1,14.255043344405735,0.2876124118933809,24686.0,0.1676,0.2337,0.1274,1.0,Very High Vulnerability,0.89,Very High Concern,0.0436,0.0029,0.0048,0.4744,0.0,0.4581,10518.0,0.457881727,0.534512265,0.076630538,10253.573403,0.21999984530000002,689.0,102.29176221,3.7,27.5,18.0,0.5959559104187789,52.92068379,0.0,48.0,2.47,16.1,26.9,33.4,3.328539518,18.3,0.978,0.9153,0.9889,5.5134,8.3313,25.03913235,23.44971251,57.5,40.7,11.0,12.1,19.7,4.5,6.0
1007,Alabama,Bibb County,AL,34.2,35.7,57.0,18.563007948557647,0.3706349915155845,22394.0,0.1808,0.2526,0.139,0.6,High Vulnerability,0.76,High Concern,0.0257,0.0013,0.0012,0.2214,0.0,0.7453,9595.0,0.206982804,0.784262637,0.577279833,11977.539484,0.1911419989,1992.0,29.335580010999998,4.3,28.9,16.3,0.5392070164353711,53.26873270000001,2.0,19.0,2.6,13.0,17.9,20.2,3.5826762110000003,24.6,0.7694,0.1203,0.7189,4.9055,7.1557,52.60379424,52.60020550000001,51.6,38.7,8.6,10.0,14.1,3.3,2.0
1009,Alabama,Blount County,AL,31.0,32.9,49.5,17.06844671946875,0.280150797219244,57826.0,0.1854,0.2362,0.1416,0.42,Moderate Vulnerability,0.8,High Concern,0.0926,0.0007,0.0037,0.0153,0.0004,0.8689,27588.0,0.09569378,0.895715528,0.800021749,11335.071134,0.1920867197,1371.0,33.411781963,5.0,71.7,17.8,0.4933677954669895,49.23736727,2.0,19.0,2.63,17.1,20.2,12.8,4.496284607,20.2,0.6143,0.3187,0.1741,5.3258,6.735,48.21482288,17.69449474,46.3,34.0,9.2,10.5,13.5,3.4,2.0
1011,Alabama,Bullock County,AL,50.2,51.5,72.9,14.919314919314921,0.4356004356004357,10101.0,0.1676,0.2337,0.1274,0.89,Very High Vulnerability,0.84,Very High Concern,0.0256,0.0,0.0049,0.748,0.0,0.2138,4613.0,0.7470192929999999,0.248428355,-0.498590939,11679.558981,0.22894664010000002,2435.0,4.0665381995,3.0,15.6,15.6,0.4445342075505586,54.52925453,0.0,114.0,2.46,15.2,28.6,34.4,2.7861642680000003,16.8,0.9771,0.4438,0.765,4.0909,8.0909,31.84648148,30.61876043,60.7,45.8,10.0,10.9,20.6,4.5,6.0
1013,Alabama,Butler County,AL,39.4,41.4,59.3,16.505553270259153,0.4679144385026738,19448.0,0.1758,0.2304,0.1343,0.87,Very High Vulnerability,0.88,Very High Concern,0.013999999999999999,0.0006,0.0035,0.4503,0.0,0.516,9488.0,0.41789629,0.5752529510000001,0.157356661,14359.939103,0.21765334960000002,1013.0,19.311067904,4.3,25.1,19.0,0.5335545834749237,46.40065817,0.0,114.0,2.43,14.5,18.9,21.3,3.22027798,20.1,0.8455,0.9077,0.6259,4.6827,7.1368,38.01121561,37.51184805,58.1,41.2,10.4,11.4,18.6,4.3,6.0
1015,Alabama,Calhoun County,AL,45.9,48.3,74.1,19.117996567052504,0.3811451960741165,113605.0,0.1795,0.2354,0.1372,0.83,Very High Vulnerability,0.66,High Concern,0.038,0.0019,0.0088,0.2066,0.0001,0.7207,50983.0,0.298452425,0.6884843970000001,0.39003197100000003,12078.616145,0.20612560370000002,1342.0,109.89916308,5.0,193.1,16.8,0.6470549026417811,47.956516,1.0,19.0,2.44,15.4,16.8,17.7,5.233817357,22.3,0.7866,0.8303,0.6492,5.5784,7.2719,44.54230412,40.68118287,53.6,40.9,9.1,10.2,14.7,3.6,4.0
1017,Alabama,Chambers County,AL,31.1,32.6,48.5,16.518313586335477,0.4149876706561617,33254.0,0.1806,0.24,0.1383,0.74,High Vulnerability,0.81,Very High Concern,0.0238,0.0033,0.0112,0.3956,0.0,0.5555,15284.0,0.41644857399999996,0.572690395,0.156241822,11112.536614,0.1939292705,860.0,20.271586909,5.0,46.7,18.9,0.5699249374389935,47.79876105,0.0,11.0,2.42,15.2,19.1,18.2,4.020800806,19.1,0.6901,0.6609,0.7943,4.0444,7.0613,26.7478613,25.67284445,55.7,39.1,9.8,10.8,17.5,4.0,5.0
1019,Alabama,Cherokee County,AL,31.1,32.8,50.2,11.26126126126126,0.21759047182775995,26196.0,0.1783,0.235,0.1368,0.45,Moderate Vulnerability,0.7,High Concern,0.0159,0.0108,0.0025,0.046,0.0,0.9172,12301.0,0.132021787,0.860336558,0.728314771,12349.707594,0.1749867379,657.0,25.908887044,5.0,37.0,21.7,0.487386316406569,49.34341121,0.0,11.0,2.42,13.9,20.5,17.2,3.856738983,22.8,0.6879,0.4492,0.2741,4.6653,7.1219,32.05770923,29.49378943,55.9,39.1,10.8,12.1,15.9,3.9,6.0
1021,Alabama,Chilton County,AL,35.6,37.5,59.9,14.576393265508239,0.3286215899882957,44428.0,0.1806,0.24,0.1383,0.76,High Vulnerability,0.84,Very High Concern,0.0785,0.0009,0.0044,0.0917,0.0,0.8013,19310.0,0.159140342,0.8329880890000001,0.673847747,10019.3128,0.20188979059999998,1200.0,28.80120495,5.0,54.2,15.8,0.48187458440361997,49.06815522,2.0,19.0,2.61,17.5,18.2,16.8,4.160811655,16.6,0.7685,0.8513,0.3636,5.0723,7.472,37.87295478,33.22441623,56.2,40.4,9.4,10.9,15.2,3.5,2.0
1023,Alabama,Choctaw County,AL,63.5,67.1,87.5,6.172054968623401,0.21447295257764715,12589.0,0.1735,0.2357,0.1337,0.87,Very High Vulnerability,0.83,Very High Concern,0.0041,0.0006,0.0013,0.4255,0.0,0.5638,7464.0,0.418944266,0.5755627010000001,0.156618435,12479.822147,0.1879324829,294.0,17.189832601,4.0,13.3,22.1,0.4376616496890453,47.16816268,0.0,80.0,2.34,14.1,19.9,23.7,2.62329532,23.5,0.9057,0.9083,0.5775,3.5468,7.0279,45.52158161,44.70127425,57.2,42.9,11.0,11.8,19.2,4.5,6.0
1025,Alabama,Clarke County,AL,51.4,53.8,73.3,19.84167301667937,0.3386673440013547,23622.0,0.1735,0.2357,0.1337,0.85,Very High Vulnerability,0.82,Very High Concern,0.0033,0.0011,0.0043,0.4577,0.0,0.5272,13135.0,0.43814236799999995,0.557594214,0.119451846,11144.037370999999,0.2057965532,737.0,66.287632266,4.0,21.2,19.0,0.4830238910806572,47.2144611,0.0,112.0,2.47,15.3,18.5,23.3,2.948309809,17.4,0.9436,0.6167,0.7345,3.6181,6.7075,21.36475139,19.66355998,57.4,40.5,10.7,11.5,19.1,4.3,6.0
1027,Alabama,Clay County,AL,41.8,44.0,58.7,17.57461276917265,0.4986777483944088,13235.0,0.1783,0.235,0.1368,0.56,Moderate Vulnerability,0.68,High Concern,0.0314,0.0,0.0016,0.1551,0.0,0.8036,6930.0,0.182828283,0.808225108,0.625396825,10461.83432,0.1962035415,1791.0,37.230490328,4.0,20.5,19.8,0.4673639064120404,48.71174915,0.0,19.0,2.41,17.2,26.7,18.1,3.087112144,17.2,0.8162,0.6673,0.1579,4.1586,6.1407,19.74940201,21.57661283,52.7,35.9,10.6,12.2,16.4,4.0,6.0
1029,Alabama,Cleburne County,AL,31.3,33.4,53.5,16.324614352783367,0.3554661301140174,14910.0,0.1783,0.235,0.1368,0.54,Moderate Vulnerability,0.81,Very High Concern,0.0246,0.0009,0.0002,0.0275,0.0,0.9269,7227.0,0.093399751,0.8971910890000001,0.803791338,11087.984454000001,0.1837446577,872.0,41.333776458,4.0,21.4,18.8,0.5918306695740626,49.22870557,0.0,11.0,2.51,16.8,24.2,16.1,3.281672069,19.1,0.8694,0.6632,0.1,3.9132,6.7028,39.993162,34.27120295,51.5,37.1,9.9,11.5,14.4,3.6,6.0
1031,Alabama,Coffee County,AL,39.0,41.4,68.7,17.318787971418743,0.34962362920790185,52342.0,0.1758,0.2304,0.1343,0.54,Moderate Vulnerability,0.57,Moderate Concern,0.0728,0.0116,0.0144,0.168,0.0,0.7015,22275.0,0.227878788,0.7586531990000001,0.530774411,8175.362392100001,0.17444757589999998,1190.0,58.321196812,5.0,70.3,16.3,0.624684102464326,49.18039051,1.0,48.0,2.49,15.3,14.6,15.5,4.344977443,22.3,0.5373,0.8067,0.1923,6.7958,8.4197,37.92111264,29.59042195,51.9,36.0,8.2,9.0,14.1,3.3,5.0
1033,Alabama,Colbert County,AL,48.7,50.6,73.0,15.640556832787242,0.33851668145037206,55241.0,0.1738,0.22899999999999998,0.1325,0.43,Moderate Vulnerability,0.53,Moderate Concern,0.0284,0.0058,0.0047,0.1608,0.0009,0.782,27886.0,0.299182385,0.6886251170000001,0.38944273100000004,10644.992124,0.1865882106,1318.0,80.776854508,5.0,92.0,19.3,0.5348235728080227,47.80507232,1.0,76.0,2.37,12.1,16.1,15.4,4.534907326,20.8,0.6519,0.6858,0.1025,4.6383,7.2547,28.03403889,24.16804045,54.4,38.0,9.4,10.3,14.8,3.6,4.0
1035,Alabama,Conecuh County,AL,41.5,43.6,59.0,15.2067622441369,0.40606613076986825,12067.0,0.1735,0.2357,0.1337,0.81,Very High Vulnerability,0.89,Very High Concern,0.0068,0.002,0.0045,0.4776,0.0,0.5005,6441.0,0.46048750200000005,0.53438907,0.073901568,10822.452428,0.21107512960000002,945.0,34.495784039,3.7,14.3,21.6,0.4954380311868464,47.7169139,0.0,112.0,2.34,15.3,21.0,23.7,2.652805166,18.5,0.9529,0.9713,0.213,3.6448,8.0651,22.08136685,21.62651092,59.3,43.2,11.7,12.7,20.5,4.8,6.0
1037,Alabama,Coosa County,AL,39.2,40.7,59.9,16.32748757385351,0.3376160555190847,10663.0,0.1806,0.24,0.1383,0.53,Moderate Vulnerability,0.71,High Concern,0.0101,0.0007,0.0,0.3361,0.0,0.648,5479.0,0.327797043,0.6627121739999999,0.33491513,12691.204176000001,0.20399965620000002,1425.0,24.292868849,3.0,12.3,21.8,0.5182125712292779,50.03282378,0.0,114.0,2.38,15.5,23.2,17.4,2.796132974,18.2,0.693,0.3836,0.2913,4.7253,7.1429,53.69645301,53.48003620000001,57.2,41.0,11.2,12.0,18.6,4.3,5.0
1039,Alabama,Covington County,AL,38.5,40.7,61.1,17.679289589462606,0.4588517908715485,37049.0,0.1758,0.2304,0.1343,0.77,High Vulnerability,0.8,High Concern,0.0169,0.0006,0.0038,0.1339,0.0009,0.8329,17430.0,0.156110155,0.836833046,0.680722892,11418.122816,0.19249451539999998,453.0,42.463348945999996,5.0,34.6,20.5,0.5510573041295129,48.38727091,0.0,48.0,2.39,15.3,18.0,17.7,3.582236056,17.5,0.8232,0.908,0.4702,4.6284,7.4457,41.68256387,39.08743219,51.7,37.6,10.3,11.1,15.8,3.8,6.0
1041,Alabama,Crenshaw County,AL,34.5,36.9,59.2,17.499273889050247,0.5227998838222481,13772.0,0.1758,0.2304,0.1343,0.69,High Vulnerability,0.84,Very High Concern,0.0079,0.0066,0.0126,0.2313,0.0007,0.7098,6617.0,0.256914009,0.735076319,0.478162309,9944.644470000001,0.18646929559999997,857.0,57.646953198999995,4.0,20.2,18.3,0.4937631235892292,48.54051699,0.0,114.0,2.44,15.6,20.7,19.9,3.118837317,21.3,0.7271,0.8596,0.2353,5.1765,8.0941,13.02189072,13.0848574,52.7,36.6,9.8,11.1,16.4,3.9,6.0
1043,Alabama,Cullman County,AL,39.5,41.9,66.4,17.83258523541209,0.33186897144494315,83768.0,0.1805,0.2313,0.1379,0.52,Moderate Vulnerability,0.51,Moderate Concern,0.0436,0.0028,0.0038,0.0125,0.0,0.9188,41851.0,0.10699863800000001,0.8812214759999999,0.774222838,10182.18218,0.17901071219999998,2114.0,51.370290123000004,5.0,106.9,18.0,0.6346128716825621,49.43176392,1.0,19.0,2.49,16.2,17.9,13.8,4.736153563999999,20.6,0.6895,0.4444,0.3945,4.0968,7.3503,83.56335697,24.17849634,48.6,33.4,9.2,10.8,13.7,3.4,5.0
