fips,state,county,stateName,CountyNamew.StateAbbrev,CensusRegionName,CensusDivisionName,tot_deaths,tot_cases,rate_cases,rate_deaths,PopSize,PopDensity,logPopDensity,Pop2029,Pop6099,Male,logWhite,logBlack,logAsian,logHispanic,logAmInd,logNHPI,WBSeg,WNWSeg,RuralCont,EconArea,State,CountyI,HouseholdSize,noHealthInsurance,Poverty,noHighSchool,PercentEduHealthSoc,SES,Household,Minority,HousingType,SVI,Smoking,Obesity,Asthma,Cancer,COPD,Diabetes,HF,HTN,KD,Stroke,NursingHomeBeds,ICUBeds
1001,AL,Autauga County,Alabama,"Autauga, AL",South,East South Central,44,3780,6765.827203,78.75566056,55869,93.98593634,4.543145158,0.124881419,0.220050475,48.49200809,4.347206488,3.049894732,0.776649422,1.384023084,0.389412801,0.098771709,24.61913786,23.6283952,1,114,Alabama,1,2.68,11.1,13.4,12.3,17.6,0.3631,0.581,0.5947,0.3741,0.4354,18.08155718,33.3,4.5463,8.4762,13.8316,30.418,15.8544,63.7064,25.5635,4.0647,0,1.945910149
1003,AL,Baldwin County,Alabama,"Baldwin, AL",South,East South Central,147,11952,5354.023133,65.85018411,223234,140.4181711,4.944624907,0.10620694,0.282116523,48.49037333,4.482335451,2.280021317,0.725684958,1.743761657,0.576808334,0.066710449,41.27176277,31.82534323,1,112,Alabama,2,2.46,14.3,10.1,9.8,20,0.2232,0.199,0.4358,0.3359,0.2162,17.4890326,31,4.889,8.5693,11.5988,23.771,12.8695,60.3339,21.7487,3.874,0,3.951243719
1005,AL,Barbour County,Alabama,"Barbour, AL",South,East South Central,32,1336,5411.974398,129.6281293,24686,27.89756803,3.328539518,0.132544762,0.259296767,52.92068379,3.915085636,3.896498438,0.385195711,1.70925282,0.52392906,0.191153862,25.03913235,23.44971251,0,48,Alabama,3,2.47,16.1,33.4,26.9,18.3,0.978,0.9153,0.8558,0.9889,0.9959,21.99998453,41.7,5.5134,8.3313,10.6346,33.7907,13.7711,67.2384,28.2774,4.5822,0,1.791759469
1007,AL,Bibb County,Alabama,"Bibb, AL",South,East South Central,42,1628,7269.804412,187.5502367,22394,35.96967458,3.582676211,0.136599089,0.228766634,53.2687327,4.353705579,3.103199615,0.194203295,1.330251695,0.378398509,0.10984273,52.60379424,52.6002055,2,19,Alabama,4,2.6,13,20.2,17.9,24.6,0.7694,0.1203,0.4323,0.7189,0.6003,19.11419989,37.6,4.9055,7.1557,13.6814,32.8083,17.3717,67.9118,29.523,5.5356,4.882801923,0
1009,AL,Blount County,Alabama,"Blount, AL",South,East South Central,54,4234,7321.965898,93.38359907,57826,89.68330283,4.496284607,0.117300176,0.250302632,49.23736727,4.572909431,0.990017191,0.277575139,2.365850669,0.494605132,0.109629742,48.21482288,17.69449474,2,19,Alabama,5,2.63,17.1,12.8,20.2,20.2,0.6143,0.3187,0.5915,0.1741,0.4242,19.20867197,33.8,5.3258,6.735,14.9524,28.4956,16.2518,63.7811,24.5608,4.429,0,1.945910149
1011,AL,Bullock County,Alabama,"Bullock, AL",South,East South Central,20,754,7464.607465,198.000198,10101,16.21868979,2.786164268,0.134937135,0.238194238,54.52925453,3.318580937,4.266340356,0.188883487,2.256918942,0.605190356,0.566620207,31.84648148,30.61876043,0,114,Alabama,6,2.46,15.2,34.4,28.6,16.8,0.9771,0.4438,0.6749,0.765,0.8898,22.89466401,37.2,4.0909,8.0909,11.1818,37.6364,17.0909,70,25,2.8182,0,0
1013,AL,Butler County,Alabama,"Butler, AL",South,East South Central,45,1405,7224.393254,231.3862608,19448,25.03507846,3.22027798,0.114819005,0.281262855,46.40065817,3.97165311,3.828127073,0.889780343,0.910680619,0.333559142,0.040311786,38.01121561,37.51184805,0,114,Alabama,7,2.43,14.5,21.3,18.9,20.1,0.8455,0.9077,0.6447,0.6259,0.8653,21.76533496,43.3,4.6827,7.1368,16.615,37.0099,18.2511,70.6065,26.9394,4.6262,0,2.079441542
1015,AL,Calhoun County,Alabama,"Calhoun, AL",South,East South Central,140,8684,7644.029752,123.2340126,113605,187.507221,5.233817357,0.132943092,0.250147441,47.956516,4.332101992,3.105183921,0.642574036,1.621651217,0.426931046,0.105972097,44.54230412,40.68118287,1,19,Alabama,8,2.44,15.4,17.7,16.8,22.3,0.7866,0.8303,0.6507,0.6492,0.8252,20.61256038,38.5,5.5784,7.2719,17.4386,30.6136,17.0003,65.8262,27.8217,3.8686,0,3.218875825
1017,AL,Chambers County,Alabama,"Chambers, AL",South,East South Central,60,2133,6414.265953,180.429422,33254,55.74572947,4.020800806,0.12792446,0.273711433,47.79876105,4.061231819,3.71821138,0.753619664,1.286262339,0.283508463,0.044119613,26.7478613,25.67284445,0,11,Alabama,9,2.42,15.2,18.2,19.1,19.1,0.6901,0.6609,0.4597,0.7943,0.7382,19.39292705,40.1,4.0444,7.0613,14.6445,35.0946,17.2048,67.0254,28.2779,3.4573,0,0
1019,AL,Cherokee County,Alabama,"Cherokee, AL",South,East South Central,23,1294,4939.685448,87.79966407,26196,47.31081813,3.856738983,0.107650023,0.318979997,49.34341121,4.545190302,1.628464787,0.331595938,0.998424349,0.525287652,0.03008198,32.05770923,29.49378943,0,11,Alabama,10,2.42,13.9,17.2,20.5,22.8,0.6879,0.4492,0.2751,0.2741,0.4516,17.49867379,35,4.6653,7.1219,19.7431,29.1413,18.8641,64.1875,30.9218,3.313,0,0
